station;NMHC;NO;NO2;NOx;O3;PH_RAIN;PM10;PM2.5;RAINFALL;RAIN_COND;RH;SO2;THC;UVB;WD_HR;WIND_DIREC;WIND_SPEED;WS_HR;
20:00;0,109722222;0,056944444;38;54;91;1;NR;94;53x;NR;NR;79;3:06;3:03;0;266;257;0:05;0:06
21:00;2:11;0,064583333;54;47;102;1;NR;98;57x;NR;NR;80;4:01;3:04;0;229;190;0:07;0:04
22:00;2:43;1:15;64;45;109;1:02;NR;95;57x;NR;NR;81;3:08;3:08;0;265;282;0:06;0:06
23:00;1:06;0:43;14;29;44;2:06;NR;68;39x;NR;NR;80;2:01;2:06;0;151;179;0:06;0:06
0:00;1:07;0:47;18;28;46;2:06;NR;44;27x;NR;NR;80;2:01;2:08;0;206;247;0:08;0:05
1:00;0,103472222;0,065277778;51;32;83;0:09;NR;64;43x;NR;NR;84;3:04;3:08;0;235;240;0:09;0:06
2:00;0,089583333;0,059027778;47;32;79;0:07;NR;78;50x;NR;NR;86;3:05;3:07;0;250;252;0:09;0:06
3:00;1:32;0:08;31;26;57;0:06;NR;70;45x;NR;NR;86;3:01;3:06;0;238;242;0:08;0:07
4:00;1:34;0,053472222;33;27;60;0:07;NR;66;46x;NR;NR;87;3;3:06;0;245;254;0:09;0:06
5:00;1:34;0,052083333;43;24;67;0:09;NR;67;46x;NR;NR;87;3:03;3:06;0;245;248;1;0:09
6:00;1:26;0,045138889;38;26;64;0:09;NR;65;42x;NR;NR;87;3:07;3;0;245;255;0:07;0:07
7:00;0,092361111;0,052083333;61;27;88;1:09;NR;65;41x;NR;NR;85;5:02;3;0:03;241;244;1:02;0:08
8:00;1:59;0,04375;58;33;91;3:09;NR;68;44x;NR;NR;79;8:02;2:08;1:02;241;230;0:09;0:09
9:00;0,104861111;0,049305556;44;54;98;9:08;NR;77;52x;NR;NR;68;7:05;3;2:07;234;216;0:09;0:07
10:00;1:05;0.66#;28;54;82;20;NR;84;57x;NR;NR;60;6:06;2.9#;4:02;60;250;1:01;0:02
11:00;1.24#;0:55;19#;52#;71#;32#;NR;0#;NR;55;5.3#;2:06;4:09;67;54;1:03;0:07;;
12:00;1:39;0:51;8.4#;60#;68#;35;NR;65;NR;NR;53;2:08;2:06;2:04;7:09;336;1:06;0:07;
13:00;1:06;0:52;6.7x;45x;51x;30;NR;67;37x;NR;NR;54;4:01;2:06;1:04;358;26;2:06;1:04
14:00;1:01;0,049305556;13#;48#;61#;10;NR;89;42x;NR;NR;69;6:02;2:08;1;21;336;1:01;1:04
15:00;1:24;0,059722222;19;58;77;6:06;NR;111;0#;NR;NR;70;7:08;3;0:05;307;236;1:04;0:02
16:00;1:57;1:18;50;65;115;2:09;NR;132;67x;NR;NR;72;11;3:03;0:02;138;89;1:04;0:04
17:00;3:22;0,092361111;79;70;149;2;NR;143;71x;NR;NR;75;7:08;4:02;0;30;29;1:05;0:08
18:00;3:09;0,095833333;99;70;169;1:05;NR;130;77x;NR;NR;75;6:09;4:04;0;36;11;0:06;0:08
19:00;3:05;1:54;96;56;153;0:09;NR;105;67x;NR;NR;75;5:07;4:01;0;38;209;0:06;0:03
20:00;5:09;3:27;212;56;268;2:02;NR;126;72x;NR;NR;81;9:08;6:05;0;246;228;0:09;0:06
21:00;0,193055556;0,128472222;157;51;208;1:04;NR;160;83x;NR;NR;83;11;5:04;0;242;235;0:05;0:08
22:00;2:51;0,090972222;95;41;136;0:09;NR;132;71x;NR;NR;83;10;4:01;0;240;262;1:02;0:09
23:00;2:58;0,085416667;105;38;143;1;NR;105;60x;NR;NR;83;11;4:01;0;245;246;0:09;0:07
0:00;0,097916667;1:14;67;34;101;0:05;NR;92;52x;NR;NR;84;9:05;3:05;0;238;239;0:09;0:08
1:00;1:28;0,061111111;40;31;71;0:05;NR;78;42x;NR;NR;83;8;3:02;0;245;242;1:04;1
2:00;1:32;0,065277778;39;30;69;0:05;NR;67;36x;NR;NR;83;7:03;3:03;0;253;261;0:07;0:06
3:00;1:38;0,065972222;45;30;75;0:06;NR;64;38x;NR;NR;83;7:01;3:04;0;242;225;0:05;0:08
4:00;1:39;0,06875;48;31;79;0:06;NR;60;36x;NR;NR;82;9:07;3:05;0;236;235;0:06;0:05
5:00;1:52;1:05;57;30;87;0:07;NR;59;37x;NR;NR;81;7:08;3:07;0;248;265;1:01;0:06
6:00;0,088194444;1:22;75;31;106;1;NR;66;38x;NR;NR;81;10;4;0;283;267;1;0:05
7:00;2:31;1:58;91;35;126;1:03;NR;76;41x;NR;NR;82;9:08;4:06;0:02;296;304;0:05;0:05
8:00;3:15;0,088888889;91;50;141;2:03;NR;79;48x;NR;NR;78;8;4:09;1;294;290;1;0:08
9:00;2:43;1:22;57;63;121;7:03;NR;79;45x;NR;NR;69;6:03;3:06;2:07;161;137;1:09;0:03
10:00;0,065972222;0:59;22;35;56;10;NR;61;31x;NR;NR;62;3:06;2:06;3:01;94;29;2;0:02
11:00;0,066666667;0:53;13;38;50;23;NR;55;25x;NR;NR;60;4:03;2:06;3:07;31;32;2:05;1:07
12:00;0,051388889;0:38;7:06;31;39;33;NR;59;31x;NR;NR;59;4:05;2:04;3:07;42;65;2:04;1:02
13:00;0,04375;0:27;7:05;30;38;35;NR;55;32x;NR;NR;59;5:07;2:03;3:03;85;85;2:08;1:06
14:00;0:57;0:26;5;28;33;39;NR;61;29x;NR;NR;64;4:02;2:02;1:08;87;87;2:07;2:03
15:00;0:56;0:19;3:09;24;28;39;NR;67;33x;NR;NR;72;3;2:01;0:07;73;65;4:01;3:03
16:00;0,058333333;0:24;2:02;29;31;52;NR;98;57x;NR;NR;76;4:01;2:02;0:01;70;70;4;3:03
17:00;1:18;0:03;1:08;36;37;42;NR;131;88x;NR;NR;79;4:04;2:04;0;70;78;2:05;3:03
18:00;1:18;0:03;3:08;34;38;30;NR;134;94x;NR;NR;82;2:08;2:04;0;78;78;2:07;2:06
19:00;1:03;0:26;3:02;30;33;27;NR;123;79x;NR;NR;83;2:08;2:03;0;74;87;3;2:04
20:00;0,061111111;0:02;2:06;26;28;28;NR;103;67x;NR;NR;82;1:08;2:02;0;78;79;1:08;2:03
21:00;0,061111111;0:02;2:08;24;27;26;NR;75;47x;NR;NR;82;1:03;2:02;0;76;82;2:04;2:01
22:00;0,056944444;0:17;1:08;21;22;28;46;29x;NR;84;1:03;2:02;0;89;92;2:08;2:02;;
23:00;0,046527778;0:13;1:06;15;16;36;NR;37;25x;NR;NR;84;1:06;2:01;0;90;82;1:05;1:08
0:00;0:06;0:01;1:01;12;13;39;NR;38;24x;NR;NR;85;2:05;2:01;0;68;66;3:03;2:05
1:00;0:58;0:09;0:08;12;13;39;NR;40;25x;NR;NR;84;4:07;2:01;0;72;89;2:03;2
2:00;0:56;0:01;1;9:05;11;40;NR;44;31x;NR;NR;84;2:09;2:01;0;84;87;2:03;2:01
3:00;0:49;0:09;1:03;7:01;8:04;36;NR;37;24x;NR;NR;85;2:02;2:01;0;87;94;1:08;2:01
4:00;0:35;0:09;0:09;7:06;8:05;35;NR;21;11x;NR;NR;85;1:09;2:01;0;87;84;2:05;1:08
